Tip Matrice,Tip alocare,Nr threads,Timp executie
,,1,0.13078
,,4,1.02616
,,1,0.13465
,,4,1.05062
,,1,521.2619
,,2,484.8437
,,4,486.5957
,,8,496.967
,,8,486.393
,,16,498.7358
,,1,52.74223
,,2,48.72486
,,4,49.15213
,,8,49.23801
,,16,50.10617
,,1,55.55428
,,2,50.42991
,,4,49.86803
,,4,50.37481
,,4,50.67181
,,4,50.38262
,,4,50.19962
,,8,51.36288
,,16,53.11414
,,16,51.35965
