Tip Matrice,Tip alocare,Nr threads,Timp executie
,,1,0.42707
,,4,1.67598
,,1,0.36713
,,4,1.39243
,,2,1905.775
,,4,1900.947
,,8,1878.261
,,16,1977.358
,,1,1946.185
,,2,2003.299
,,4,1859.763
,,8,1848.239
,,16,1838.2
,,2,201.054
,,4,199.3385
,,8,205.4345
,,16,201.0941
,,1,203.0213
,,2,196.8165
,,4,194.1027
,,8,196.3429
,,16,194.5056
,,2,198.8596
,,4,198.0752
,,8,194.5244
,,16,197.6186
,,1,218.0046
,,2,192.9089
,,4,189.9955
,,8,191.1067
,,16,199.268
