Tip Matrice,Tip alocare,Nr threads,Timp executie
,,1,0.12328
,,4,1.00093
,,1,0.12579
,,4,1.06824
,,1,469.4386
,,2,492.4699
,,4,479.7567
,,8,478.1051
,,16,489.0608
,,1,516.7777
,,2,500.2446
,,4,493.6726
,,8,485.7096
,,16,511.6221
,,1,46.45639
,,2,50.76811
,,4,50.21274
,,8,50.06021
,,16,53.64017
,,1,56.25396
,,2,52.53376
,,4,50.75353
,,8,50.4967
,,16,50.64713
,,1,48.11447
,,2,54.90315
,,4,50.80695
,,8,50.56927
,,16,50.56041
,,1,54.54655
,,2,53.22703
,,4,51.66837
,,8,53.00789
,,16,51.85359
